Date,Close,High,Low,Open,Volume
2011-03-21,10.166446685791016,10.179629908640827,10.045395784470262,10.067269677138283,409402000
2011-03-22,10.22337818145752,10.265926627842973,10.161654570701288,10.264128806164713,325922800
2011-03-23,10.163151741027832,10.194013142061491,10.066070984110377,10.16584807312063,372996400
2011-03-24,10.336339950561523,10.36720215790157,10.15326616552263,10.242855617794607,404712000
2011-03-25,10.533193588256836,10.548773905235544,10.397760124727695,10.429221595699644,448910000
2011-03-28,10.500236511230469,10.616494048354236,10.500236511230469,10.581436925036124,309355200
2011-03-29,10.515812873840332,10.515812873840332,10.368994834364889,10.416935124769738,352900800
2011-03-30,10.446004867553711,10.513422790995017,10.410349265500136,10.506230703057229,329406000
2011-03-31,10.442408561706543,10.481060528281432,10.368999508874852,10.377987817316392,274019200
2011-04-01,10.324053764343262,10.534694136474858,10.286300309311121,10.520312363190351,418661600
2011-04-04,10.223075866699219,10.325250034405366,10.139479184075286,10.316560965625795,460084800
2011-04-05,10.154163360595703,10.254838967475811,10.06757028919388,10.097233944830338,482731200
2011-04-06,10.128692626953125,10.304275830582432,10.101726109012427,10.22397555049454,402539200
2011-04-07,10.129895210266113,10.20030709618178,10.068470032938748,10.130493684093041,373447200
2011-04-08,10.039406776428223,10.19191839504992,10.006148272614972,10.185027144728915,377535200
2011-04-11,9.911763191223145,10.057681975218765,9.88839231084134,10.00944162975967,398946800
2011-04-12,9.959704399108887,9.999554910946715,9.893785074118288,9.902474145103467,425639200
2011-04-13,10.071464538574219,10.07176377540853,9.963297623857565,10.038205244549006,346220000
2011-04-14,9.96030330657959,10.067570932690618,9.94951717664849,10.03161529935676,301800800
2011-04-15,9.811687469482422,9.996859117913383,9.791912229404733,9.986671460852808,453605600
2011-04-18,9.943222999572754,9.954609201888532,9.592955860945738,9.770936180862826,609898800
2011-04-19,10.123300552368164,10.12689539488407,9.939027468823577,9.980676595724418,419378400
2011-04-20,10.259634017944336,10.359710359357562,10.232368255530842,10.292593282480444,700666400
2011-04-21,10.508026123046875,10.640762480388041,10.44270687363774,10.636866800316346,753810400
2011-04-25,10.577240943908691,10.599414076116169,10.496040538269732,10.497239886055212,266546000
2011-04-26,10.499639511108398,10.63657001688269,10.467578752808965,10.595520948864612,338800000
2011-04-27,10.491546630859375,10.557465955087714,10.400160167933054,10.554169548822061,356213200
2011-04-28,10.389670372009277,10.479558225122707,10.352815440120613,10.372890708687978,360959200
2011-04-29,10.490946769714355,10.605404860969175,10.387274006271323,10.390570412101036,1006345200
2011-05-02,10.375589370727539,10.501134436646872,10.352218491664727,10.479261342096406,442713600
2011-05-03,10.433116912841797,10.483754345320342,10.355812198141855,10.426824938422683,313348000
2011-05-04,10.47416877746582,10.541885125032477,10.393567641558484,10.434916738767024,389250400
2011-05-05,10.389670372009277,10.515514646525494,10.368695792857652,10.439108451192148,335969200
2011-05-06,10.386974334716797,10.487050651203347,10.373491075319361,10.477762308078209,280134400
2011-05-09,10.415143013000488,10.463084129782878,10.383082256135602,10.422932774394926,204747200
2011-05-10,10.470573425292969,10.477764711981083,10.386976717790274,10.453793756354036,282091600
2011-05-11,10.404053688049316,10.48705191270173,10.3444279426811,10.457688295361935,336000000
2011-05-12,10.384278297424316,10.400758727423412,10.255438427400307,10.370795836704112,322000000
2011-05-13,10.202404022216797,10.374690859540255,10.197909868234825,10.357013480498475,326116000
2011-05-16,9.986673355102539,10.223981081639131,9.965698763058233,10.163456001937604,449775200
2011-05-17,10.071765899658203,10.071765899658203,9.909665911910137,9.947719404098123,452334400
2011-05-18,10.183528900146484,10.218885263999068,10.06757218821104,10.08165472634567,334776400
2011-05-19,10.203300476074219,10.259630603962886,10.147568821790186,10.249742987911977,261170000
2011-05-20,10.044198989868164,10.215887340925237,10.038206251595891,10.174238209982223,337968400
2011-05-23,10.019633293151855,10.066975146809028,9.870418043200054,9.886897680850499,383600000
2011-05-24,9.953411102294922,10.064574398082561,9.927942364438827,10.052588921421204,321927200
2011-05-25,10.090940475463867,10.144275044547042,9.973185971941273,9.990564112362613,294224000
2011-05-26,10.03760814666748,10.094238329787304,10.020529240651914,10.066672530623325,222560800
2011-05-27,10.109818458557129,10.116410471298794,10.016933406584144,10.031615216732167,203599200
2011-05-31,10.422032356262207,10.422032356262207,10.217384736569645,10.220381905924977,417754400
2011-06-01,10.352519035339355,10.550873895745916,10.326751857823883,10.453195450392045,554682800
2011-06-02,10.370194435119629,10.426525366546736,10.316261398749505,10.3821799099123,338783200
2011-06-03,10.290493965148926,10.347124140755463,10.247647087345038,10.282704205619895,313250000
2011-06-06,10.128692626953125,10.39865944347332,10.121801379059011,10.358209666562272,461941200
2011-06-07,9.948919296264648,10.134090968776716,9.944724378105931,10.132593183769446,529785200
2011-06-08,9.954906463623047,10.031611895387076,9.9072662057371,9.941123968915972,333723600
2011-06-09,9.932440757751465,9.997760027978183,9.910267618249597,9.98517527312577,275088800
2011-06-10,9.764945030212402,9.937531913930743,9.753258789044567,9.904272612335117,433955200
2011-06-13,9.785914421081543,9.83715111666929,9.740071188202766,9.803891830013132,329473200
2011-06-14,9.960904121398926,9.985174317671087,9.867119743267537,9.887794295640209,334569200
2011-06-15,9.790412902832031,9.89678121092729,9.734381197871905,9.880301580091464,399196000
2011-06-16,9.742774963378906,9.848244803309237,9.538128061535797,9.794911009301334,510591200
2011-06-17,9.595951080322266,9.865319445708426,9.568984560128916,9.857528886512998,615020000
2011-06-20,9.447932243347168,9.519244206775882,9.303510495558008,9.509056554829401,640645600
2011-06-21,9.746963500976562,9.761944543374982,9.444337483426427,9.48868293711861,493382400
2011-06-22,9.666364669799805,9.854832676846577,9.659472621145978,9.742770077995441,390583200
2011-06-23,9.924646377563477,9.938428875096578,9.531831596194802,9.55640022221065,559759200
2011-06-24,9.778432846069336,9.982181267541916,9.740679372667758,9.928847465493094,439807200
2011-06-27,9.948919296264648,10.004650980274485,9.805396768278998,9.815584426664453,339813600
2011-06-28,10.045394897460938,10.08854180501974,9.990862589368788,9.997154563352924,294299600
2011-06-29,10.008842468261719,10.078655867730111,9.944121696092497,10.068768249794033,352545200
2011-06-30,10.057684898376465,10.071469001226136,9.972890423103188,10.02862130794146,322954800
2011-07-01,10.285104751586914,10.292295239710878,10.013639221868472,10.066074498344724,435313200
2011-07-05,10.469974517822266,10.481959996055247,10.262331308077279,10.277312355769826,355054000
2011-07-06,10.539786338806152,10.609900575796678,10.388473299377928,10.455590367163522,444626000
2011-07-07,10.702784538269043,10.72675468860372,10.606902336733382,10.62697840777039,399663600
2011-07-08,10.777990341186523,10.786680209918128,10.552968266636979,10.58712606756596,489633200
2011-07-11,10.606904983520508,10.779792706316385,10.571548622907457,10.677019230934919,442674400
2011-07-12,10.599414825439453,10.71716934365603,10.445703874074225,10.592822012596887,451609200
2011-07-13,10.727357864379883,10.786684383659805,10.678217401782486,10.736645410210594,391638800
2011-07-14,10.719864845275879,10.834923022138327,10.677017965909114,10.816944806957357,430533600
2011-07-15,10.934101104736328,10.93649820032673,10.761814259718845,10.821740049281564,484467200
2011-07-18,11.200170516967773,11.22563845156112,10.944885496487897,10.949379649628257,572653200
2011-07-19,11.291559219360352,11.345492264385626,11.185789387587251,11.32601626477126,819145600
2011-07-20,11.592686653137207,11.873440442830944,11.565720130782234,11.868946289137973,941340400
2011-07-21,11.604374885559082,11.687371525239518,11.502799953788573,11.594187228660592,526534400
2011-07-22,11.78445053100586,11.836885792305734,11.618155639429478,11.635234543966025,516728800
2011-07-25,11.940258026123047,11.985201962411747,11.674186050816934,11.696058345092192,589806000
2011-07-26,12.087379455566406,12.12003948763265,11.975617657938457,11.985205241580049,476582400
2011-07-27,11.763177871704102,12.064306207787668,11.749993845808996,12.002881832742574,659324400
2011-07-28,11.740103721618652,11.895012392391457,11.629540510205715,11.734111783952509,594034000
2011-07-29,11.699955940246582,11.839883599733545,11.505795991435336,11.614861444199192,632584400
2011-08-01,11.887822151184082,11.970219496794494,11.756583591740045,11.918683551157716,612836000
2011-08-02,11.652914047241211,11.922281670508099,11.636135177768823,11.914791146641784,639539600
2011-08-03,11.762575149536133,11.79193876214118,11.45305786962741,11.714933288158269,732508000
2011-08-04,11.30714225769043,11.725125857432335,11.306542983710536,11.66789719259932,871407600
2011-08-05,11.194780349731445,11.490816094130235,10.863689877970298,11.399128775706728,1204590800
2011-08-08,10.583231925964355,11.019492810309638,10.577538425347216,10.837317592628754,1143833600
2011-08-09,11.206464767456055,11.224442983865888,10.636867345733394,10.825634617543454,1082583600
2011-08-10,10.897248268127441,11.225642402441466,10.861592667088633,11.120771858070256,878656800
2011-08-11,11.197176933288574,11.249612200061923,10.928108549434253,11.101893982165963,741969200
2011-08-12,11.295751571655273,11.37515253652741,11.213053401286928,11.328110751244838,528976000
2011-08-15,11.488119125366211,11.534861696212873,11.328715445357643,11.374858742217825,460544000
2011-08-16,11.400321960449219,11.48691581544961,11.26788566473421,11.43148419482776,498750000
2011-08-17,11.399127960205078,11.521376642558973,11.326018140327273,11.455158872983517,442061200
2011-08-18,10.967957496643066,11.165714657517576,10.827730622683104,11.111480776673456,851435200
2011-08-19,10.667730331420898,10.99642527800341,10.666831820583953,10.851703425655547,775888400
2011-08-22,10.680012702941895,10.932901442860459,10.63956292208398,10.921814477646674,535315200
2011-08-23,11.194183349609375,11.195381897723,10.696797083839611,10.795674902916977,656835200
2011-08-24,11.271484375,11.354781041052119,11.104290168839922,11.19028396730513,626267600
2011-08-25,11.197775840759277,11.24961183192867,10.93649802625478,10.938895121807027,871346000
2011-08-26,11.493210792541504,11.499802004824868,11.110282801520631,11.12136896775009,641477200
2011-08-29,11.684672355651855,11.730516400515198,11.62564588761199,11.631038551620836,405269200
2011-08-30,11.685275077819824,11.740706719578096,11.572014698437059,11.633139042828232,417922400
2011-08-31,11.53066349029541,11.747895047807955,11.441673328925955,11.702651074878371,522586400
2011-09-01,11.41680908203125,11.605875656694952,11.407520733694907,11.560332426097894,343725200
2011-09-02,11.207664489746094,11.326018293168717,11.141146682256123,11.228338240635992,438939200
2011-09-06,11.378151893615723,11.395829271010768,10.980841355247858,11.007508639966645,509698000
2011-09-07,11.50369644165039,11.553734602812234,11.445866921144223,11.552536055235956,350576800
2011-09-08,11.509989738464355,11.643924645152994,11.455157380699113,11.457853713006195,416158400
2011-09-09,11.310436248779297,11.565720508896883,11.236726365095066,11.503697665472465,564813200
2011-09-12,11.384145736694336,11.412310008536409,11.143242440268843,11.176202503293593,467832400
2011-09-13,11.524373054504395,11.572013328960756,11.39343370855472,11.450063891544271,440560400
2011-09-14,11.66460132598877,11.751793693855447,11.558532226930385,11.596285689313797,534724400
2011-09-15,11.774258613586426,11.795233190573143,11.682572148767974,11.7284153811772,417818800
2011-09-16,12.000184059143066,12.000184059143066,11.83628705560787,11.851568139302541,698513200
2011-09-19,12.333672523498535,12.381613633788808,11.841381432721297,11.895313681612908,823860800
2011-09-20,12.388203620910645,12.670155934544495,12.320487283755671,12.442136661082468,775754000
2011-09-21,12.348954200744629,12.63210430340036,12.34475928365583,12.573676301240003,605976000
2011-09-22,12.0397367477417,12.279441524209757,11.886326618916659,12.016066627155068,968480800
2011-09-23,12.114041328430176,12.18715112154637,11.98070572703571,11.993589711873634,546277200
2011-09-26,12.08018684387207,12.104457037505677,11.72452617451742,11.98100901067365,812876400
2011-09-27,11.963030815124512,12.262360516807544,11.92707518247599,12.24678019604908,632497600
2011-09-28,11.895614624023438,12.097265085741041,11.88063197679561,11.990895971370458,429637600
2011-09-29,11.702651977539062,12.051421364131375,11.57201267595844,12.042732293184311,651086800
2011-09-30,11.425492286682129,11.652313012454266,11.42129737021133,11.599277682836988,547640800
2011-10-03,11.224138259887695,11.465041475763472,11.181292192528337,11.397025914146479,669099200
2011-10-04,11.161219596862793,11.439875540622335,10.614096165049466,11.223243241146625,1233677200
2011-10-05,11.333508491516113,11.38054949113145,10.795671782422929,11.022192509828715,786469600
2011-10-06,11.30714225769043,11.5291680665994,11.14024805473423,11.186091314048017,812582400
2011-10-07,11.08031940460205,11.3182255126861,11.041068169171316,11.259498277971764,535458000
2011-10-10,11.649917602539062,11.649917602539062,11.332309631451777,11.358677683464828,442514800
2011-10-11,11.993889808654785,12.080483666631858,11.730515792565576,11.762575738505586,605687600
2011-10-12,12.050824165344238,12.262362274301429,11.989399784078863,12.205133610889874,622286000
2011-10-13,12.237792015075684,12.237792015075684,12.070597801459293,12.134418470001814,426185200
2011-10-14,12.644389152526855,12.644389152526855,12.442737106382763,12.489480465770109,573367200
2011-10-17,12.584162712097168,12.785214674401633,12.462811766065114,12.636597970217801,686044800
2011-10-18,12.651578903198242,12.728584386796392,12.464310240155672,12.63719633191495,881602400
2011-10-19,11.943853378295898,12.23749034196827,11.919283152281759,12.025652252462477,1104059600
2011-10-20,11.84467601776123,11.995689832272175,11.811717555181497,11.985202939619722,549270400
2011-10-21,11.771566390991211,11.959435151328881,11.708044960110835,11.928273709766785,621244400
2011-10-24,12.158088684082031,12.179960978042644,11.847372813916243,11.870743692454104,502138000
2011-10-25,11.91838264465332,12.181458218037749,11.90669800677268,12.135914213512981,430427200
2011-10-26,12.003175735473633,12.061603711137263,11.779950720736059,12.037932003964691,456304800
2011-10-27,12.125728607177734,12.254870120792729,12.04183266900202,12.211722403864533,494664800
2011-10-28,12.13351821899414,12.175466584853202,12.060408415665114,12.075090223701006,322842800
2011-10-31,12.128426551818848,12.264758560620587,12.01666397225924,12.057713833425607,385501200
2011-11-01,11.880633354187012,11.97022281015954,11.78205558899355,11.90760068214602,531790000
2011-11-02,11.907599449157715,11.998387443638768,11.838683751608288,11.987900550567735,327350800
2011-11-03,12.077191352844238,12.087078973162784,11.846176441253796,11.957338960802064,441386400
2011-11-04,11.992389678955078,12.08827106129197,11.960029702415147,12.046023469717289,302229200
2011-11-07,11.97711181640625,11.985202413327366,11.869245725176315,11.982506081086052,270275600
2011-11-08,12.171871185302734,12.224906517559726,12.031944350791248,12.051420349611506,400442000
2011-11-09,11.84377670288086,12.011869411187094,11.8123160270595,11.894414141197739,558684000
2011-11-10,11.542349815368652,11.901606094351003,11.450363277862506,11.896212629596775,744752400
2011-11-11,11.524373054504395,11.646621728819367,11.393733745551867,11.583998806873463,653786000
2011-11-14,11.363770484924316,11.543249410443424,11.332009769577084,11.491412620189582,432905200
2011-11-15,11.650516510009766,11.670590983816224,11.369463475437584,11.409913260123089,430810800
2011-11-16,11.528867721557617,11.71973206526584,11.515383658256626,11.66310187975698,349210400
2011-11-17,11.308341026306152,11.52317555164838,11.251111560257668,11.505197331900737,479900400
2011-11-18,11.23432731628418,11.385640337133426,11.232529495041103,11.353580391779575,371938000
2011-11-21,11.056649208068848,11.136650262960709,10.96376336597061,11.098296738400045,447980400
2011-11-22,11.2813720703125,11.323919714465045,11.114477899996432,11.116874995447203,409021200
2011-11-23,10.996122360229492,11.26129500147605,10.992825954460658,11.221443696006613,428271200
2011-11-25,10.89365291595459,11.120772155795,10.886161591085546,11.038973257011342,254760800
2011-11-28,11.269688606262207,11.287666826571966,11.096203180816484,11.15672825566172,346413200
2011-11-29,11.182195663452148,11.35088767673537,11.092306972952144,11.261298223155329,375855200
2011-11-30,11.451857566833496,11.454254661548116,11.335001599790862,11.424591814602243,405938400
2011-12-01,11.623549461364746,11.655609412916215,11.408414944945566,11.462048755584476,387181200
2011-12-02,11.676587104797363,11.794341649967444,11.643028559609194,11.680481985897332,379055600
2011-12-05,11.775760650634766,11.877635604024746,11.697258177283958,11.790143222905893,357210000
2011-12-06,11.714038848876953,11.824303653073292,11.66699784507531,11.760781415858206,283598000
2011-12-07,11.658306121826172,11.713737752041972,11.588491919407904,11.683474823081905,304746400
2011-12-08,11.70534896850586,11.850370050831579,11.692464979801107,11.729019887330308,376356400
2011-12-09,11.794035911560059,11.806620659959098,11.716431963345418,11.770965072976148,296993200
2011-12-12,11.740700721740723,11.802424308566431,11.669089519567395,11.73590653245743,301067200
2011-12-13,11.649917602539062,11.847374755238201,11.598680883434447,11.775462686210377,338928800
2011-12-14,11.391632080078125,11.607066573023753,11.316425231554726,11.586691267381052,406887600
2011-12-15,11.354181289672852,11.498003809298098,11.335304563969574,11.485719095762382,256200000
2011-12-16,11.416502952575684,11.510287297272946,11.373056804426916,11.396727718277145,421478400
2011-12-19,11.45216178894043,11.531264343234369,11.400324996842077,11.459952349610024,235530400
2011-12-20,11.863856315612793,11.868351271016124,11.603477742851688,11.61845879393249,337215200
2011-12-21,11.878833770751953,11.90430250828265,11.745797381806348,11.886024256558324,262948000
2011-12-22,11.941751480102539,11.95913041457481,11.868342464042929,11.895308175958537,202358800
2011-12-23,12.084980964660645,12.092771525550429,11.969922773353733,11.975915512499721,269399200
2011-12-27,12.18085765838623,12.257563089457122,12.075687127480048,12.078085022305535,265076000
2011-12-28,12.064305305480957,12.232397222529011,12.025353304711913,12.191648200280072,228662000
2011-12-29,12.138608932495117,12.154490084677889,12.000480753157039,12.087072997465812,215978000
2011-12-30,12.13502025604248,12.173372990016807,12.089776271463778,12.09037474533491,179662000
2012-01-03,12.321686744689941,12.359740232610607,12.254869713304085,12.266855189830054,302220800
2012-01-04,12.38790512084961,12.425060099935473,12.26325935914952,12.284832417874965,260022000
2012-01-05,12.525435447692871,12.541015767578921,12.364833257476315,12.433149675771922,271269600
2012-01-06,12.65637493133545,12.666861824369615,12.56109278304426,12.577572414983276,318292800
2012-01-09,12.636301040649414,12.816678500956678,12.624914835482576,12.749262181136721,394024400
2012-01-10,12.681541442871094,12.764239625267923,12.629405423508265,12.761542493177561,258196400
2012-01-11,12.660867691040039,12.669856798407288,12.563787731769448,12.664762570849899,215084800
2012-01-12,12.626113891601562,12.671357876963821,12.547011326403412,12.652781183674211,212587200
2012-01-13,12.57876968383789,12.597946447603428,12.544312636594624,12.57547487771362,226021600
2012-01-17,12.725287437438965,12.763940196063011,12.673151418861858,12.71030559299195,242897200
